flowers,fruits,year,mounth
0,0,2010,9
0,0,2010,9
0,0,2010,9
0,0,2010,10
0,0,2010,10
0,0,2010,10
0,1,2010,10
0,1,2010,10
0,1,2010,11
0,1,2010,11
0,1,2010,11
0,1,2010,11
0,1,2010,11
0,1,2010,12
0,1,2010,12
0,1,2010,12
0,1,2010,12
0,1,2010,12
0,1,2011,1
0,1,2011,1
0,1,2011,1
0,1,2011,1
0,1,2011,1
0,1,2011,2
0,1,2011,2
0,1,2011,2
0,0,2011,2
0,1,2011,2
0,1,2011,3
0,1,2011,3
0,0,2011,3
0,0,2011,3
0,0,2011,3
0,0,2011,4
0,0,2011,4
0,0,2011,4
0,0,2011,4
0,0,2011,4
0,0,2011,5
0,0,2011,5
0,0,2011,5
0,0,2011,5
0,0,2011,5
1,0,2011,6
1,0,2011,6
0,0,2011,6
0,0,2011,6
0,0,2011,6
1,0,2011,7
1,0,2011,7
0,0,2011,7
0,0,2011,7
0,0,2011,7
1,0,2011,8
1,0,2011,8
1,0,2011,8
0,1,2011,8
0,1,2011,8
1,1,2011,9
1,1,2011,9
1,1,2011,9
1,1,2011,9
0,1,2011,9
0,1,2011,10
0,1,2011,10
0,1,2011,10
0,1,2011,10
0,1,2011,10
0,1,2011,11
0,1,2011,11
0,1,2011,11
0,1,2011,11
0,1,2011,11
0,1,2011,12
0,1,2011,12
0,1,2011,12
0,1,2011,12
0,1,2011,12
0,1,2012,1
0,1,2012,1
0,1,2012,1
0,1,2012,1
0,1,2012,1
0,1,2012,2
0,1,2012,2
0,1,2012,2
0,0,2012,2
0,0,2012,2
0,1,2012,3
0,1,2012,3
0,0,2012,3
0,0,2012,3
0,0,2012,3
0,0,2012,4
0,0,2012,4
0,0,2012,4
0,0,2012,4
0,0,2012,4
1,0,2012,5
1,0,2012,5
1,0,2012,5
1,0,2012,5
1,0,2012,5
1,0,2012,6
1,0,2012,6
1,0,2012,6
1,0,2012,6
1,0,2012,6
1,0,2012,7
1,0,2012,7
1,0,2012,7
1,0,2012,7
0,0,2012,7
0,0,2012,8
0,0,2012,8
0,0,2012,8
0,0,2012,8
0,0,2012,8
0,0,2012,9
0,0,2012,9
0,0,2012,9
0,0,2012,9
0,0,2012,9
0,1,2012,10
0,1,2012,10
0,1,2012,10
0,1,2012,10
0,1,2012,10
0,1,2012,11
0,1,2012,11
0,1,2012,11
0,1,2012,11
0,1,2012,11
0,1,2012,12
0,1,2012,12
0,1,2012,12
0,1,2012,12
0,1,2012,12
0,1,2013,1
0,1,2013,1
0,1,2013,1
0,1,2013,1
0,1,2013,1
0,1,2013,2
0,1,2013,2
0,1,2013,2
0,0,2013,2
0,0,2013,2
0,1,2013,3
0,1,2013,3
0,0,2013,3
0,0,2013,3
0,0,2013,3
0,0,2013,4
0,0,2013,4
0,0,2013,4
0,0,2013,4
0,0,2013,4
0,0,2013,5
0,0,2013,5
0,0,2013,5
0,0,2013,5
0,0,2013,5
0,0,2013,6
0,0,2013,6
0,0,2013,6
0,0,2013,6
0,0,2013,6
0,0,2013,7
0,0,2013,7
0,0,2013,7
0,0,2013,7
0,0,2013,7
1,1,2013,8
1,1,2013,8
1,1,2013,8
0,1,2013,8
0,1,2013,8
1,1,2013,9
1,1,2013,9
0,1,2013,9
0,1,2013,9
0,1,2013,9
0,1,2013,10
0,1,2013,10
0,1,2013,10
0,1,2013,10
0,1,2013,10
0,1,2013,11
0,1,2013,11
0,1,2013,11
0,1,2013,11
0,1,2013,11
0,1,2013,12
0,1,2013,12
0,1,2013,12
0,1,2013,12
0,1,2013,12
0,1,2014,1
0,1,2014,1
0,1,2014,1
0,0,2014,1
0,0,2014,1
0,1,2014,2
0,1,2014,2
0,1,2014,2
0,0,2014,2
0,0,2014,2
0,0,2014,3
0,0,2014,3
0,0,2014,3
0,0,2014,3
0,0,2014,3
0,0,2014,4
0,0,2014,4
0,0,2014,4
0,0,2014,4
0,0,2014,4
0,0,2014,5
0,0,2014,5
0,0,2014,5
0,0,2014,5
0,0,2014,5
0,0,2014,6
0,0,2014,6
0,0,2014,6
0,0,2014,6
0,0,2014,6
1,1,2014,7
1,1,2014,7
1,1,2014,7
1,1,2014,7
1,0,2014,7
1,1,2014,8
1,1,2014,8
1,1,2014,8
1,1,2014,8
0,1,2014,8
1,1,2014,9
1,1,2014,9
0,1,2014,9
0,1,2014,9
0,1,2014,9
0,1,2014,10
0,1,2014,10
0,1,2014,10
0,1,2014,10
0,1,2014,10
0,1,2014,11
0,1,2014,11
0,1,2014,11
0,1,2014,11
0,1,2014,11
0,1,2014,12
0,1,2014,12
0,1,2014,12
0,0,2014,12
0,0,2014,12
0,1,2015,1
0,1,2015,1
0,0,2015,1
0,0,2015,1
0,0,2015,1
0,0,2015,2
0,0,2015,2
0,0,2015,2
0,0,2015,2
0,0,2015,2
0,0,2015,3
0,0,2015,3
0,0,2015,3
0,0,2015,3
0,0,2015,3
0,0,2015,4
0,0,2015,4
0,0,2015,4
0,0,2015,4
0,0,2015,4
0,0,2015,5
0,0,2015,5
0,0,2015,5
0,0,2015,5
0,0,2015,5
0,0,2015,6
0,0,2015,6
0,0,2015,6
0,0,2015,6
0,0,2015,6
1,1,2015,7
1,0,2015,7
1,0,2015,7
1,0,2015,7
1,0,2015,7
1,1,2015,8
1,1,2015,8
1,1,2015,8
1,0,2015,8
1,0,2015,8
1,1,2015,9
1,1,2015,9
0,1,2015,9
0,1,2015,9
0,0,2015,9
0,1,2015,10
0,1,2015,10
0,1,2015,10
0,1,2015,10
0,1,2015,10
0,1,2015,11
0,1,2015,11
0,1,2015,11
0,1,2015,11
0,1,2015,11
0,1,2015,12
0,1,2015,12
0,1,2015,12
0,1,2015,12
0,1,2015,12
0,1,2016,1
0,1,2016,1
0,1,2016,1
0,0,2016,1
0,0,2016,1
0,1,2016,2
0,1,2016,2
0,0,2016,2
0,0,2016,2
0,0,2016,2
0,1,2016,3
0,1,2016,3
0,0,2016,3
0,0,2016,3
0,0,2016,3
0,0,2016,4
0,0,2016,4
0,0,2016,4
0,0,2016,4
0,0,2016,4
1,0,2016,5
1,0,2016,5
1,0,2016,5
0,0,2016,5
0,0,2016,5
1,1,2016,6
1,0,2016,6
1,0,2016,6
1,0,2016,6
1,0,2016,6
1,1,2016,7
1,1,2016,7
1,1,2016,7
1,1,2016,7
0,1,2016,7
1,1,2016,8
0,1,2016,8
0,1,2016,8
0,1,2016,8
0,1,2016,8
0,1,2016,9
0,1,2016,9
0,1,2016,9
0,1,2016,9
0,1,2016,9
0,1,2016,10
0,1,2016,10
0,1,2016,10
0,1,2016,10
0,1,2016,10
0,1,2016,11
0,1,2016,11
0,1,2016,11
0,1,2016,11
0,1,2016,11
0,1,2016,12
0,1,2016,12
0,1,2016,12
0,1,2016,12
0,0,2016,12
